DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter38,Aldesleukin,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter51,Alogliptin,Moderate
DDInter54,Alprazolam,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter72,Aminolevulinic acid,Major
DDInter15,Acetazolamide,DDInter73,Aminolevulinic acid (topical),Moderate
DDInter15,Acetazolamide,DDInter76,Amiodarone,Major
DDInter15,Acetazolamide,DDInter77,Amisulpride,Moderate
DDInter78,Amitriptyline,DDInter15,Acetazolamide,Minor
DDInter82,Amoxapine,DDInter15,Acetazolamide,Minor
DDInter85,Amphotericin B,DDInter15,Acetazolamide,Moderate
DDInter86,Amphotericin B (cholesteryl sulfate),DDInter15,Acetazolamide,Moderate
DDInter87,Amphotericin B (lipid complex),DDInter15,Acetazolamide,Moderate
DDInter88,Amphotericin B (liposomal),DDInter15,Acetazolamide,Moderate
DDInter109,Apomorphine,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter116,Arformoterol,Moderate
DDInter15,Acetazolamide,DDInter120,Arsenic trioxide,Major
DDInter15,Acetazolamide,DDInter20,Acetylsalicylic acid,Major
DDInter15,Acetazolamide,DDInter135,Atracurium,Moderate
DDInter15,Acetazolamide,DDInter141,Avanafil,Moderate
DDInter168,Beclomethasone dipropionate,DDInter15,Acetazolamide,Moderate
DDInter177,Benazepril,DDInter15,Acetazolamide,Moderate
DDInter195,Betamethasone,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter212,Bisacodyl,Moderate
DDInter15,Acetazolamide,DDInter215,Bismuth subsalicylate,Major
DDInter15,Acetazolamide,DDInter238,Brinzolamide (ophthalmic),Moderate
DDInter15,Acetazolamide,DDInter280,Canagliflozin,Moderate
DDInter15,Acetazolamide,DDInter292,Captopril,Moderate
DDInter293,Carbamazepine,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter787,Frangula purshiana bark,Moderate
DDInter15,Acetazolamide,DDInter307,Castor oil,Moderate
DDInter355,Chlordiazepoxide,DDInter15,Acetazolamide,Moderate
